"Region 4(High Valence, Low Intensity)",,"Region 1 (High Valence, High Intensity)",,"Region 3( Low Valence, Low Intensity)",,"Region 2 (Low Valence, High Intensity)",
"what do you need from me SSG to help you decompress, the guys are doing there best and trying to get the job done. i need you at 100% as well, and this is not 100% talk to me about how we can help you.","Take a couple of days off and go home and figure out things at the house, when you get back we will brief each other on how things went and go on from there.","SSGT, ive got your back completely but i cant have you chewing out the soldiers on such tirades like that, hell we all like to blast the guys for being crap but our job is to build them up. ",Lets go grab some lunch and talk about whats causing all these problems.,"I could care less about whats going on in your family life SSGT, this is a professional environment and what i just heard was not even the least bit of professional and i wont tolerate that at all.. MY OFFICE NOW.","SSGT, your behavior lately has been reckless and absolutely unacceptable. I will be recommending to the commander your transfer from my platoon.","YOU SUCK SSGT, your performance is miserable and you barely come to work functioning. I have no idea how you have stayed in the army this long but I intend to change that COMPLETELY.",I think you should just leave work for today... be in my office at 0700 in the morning in your dress uniform. You have done it now.
"SSG Burch, you are receiving a counseling stamen for the past incident.","SSG Burch, i was nor aware or your situation, this is not an excuse but i believe you need some days with the family to settle things at home. ","SSG Burch, if we can focus that energy more in showing soldiers how get the job done we should get better outcomes. ","SSG Burch, your issues at home are clearly affecting your performance, i believe you need to solve home issues first ans then take care of your soldiers. ","SSG Burch, lest take a walk and talk about what is affecting your family.","SSG Burch, i know you are frustrated but we have to act as a professional that we are.  ","SSG Burch, you should never threat a soldier that way. ","SSG Burch, you should control your emotions and leave your problems at home. "
"SSG Burch, we will settle  these issues internally as a PLT. ","SSG Burch, I will make sure to address your concerns today. ","SSG Burch, you're work has been outstanding lately. ","SSG Burch, I am confident you will be promoted shortly. ","SSG Burch, you're behavior is unacceptable. ","SSG Burch, your work ethic is severely lacking. ","SSG Burch, you will be receiving an Article 15. ","SSG Burch, who the hell do you think you are speaking to a superior like that?"
I am going to give you some time off so that you can handle all of your outside business.,I understand you have been going through a hard time. If you need anything let me know.,You have been doing an excellent job with your squad. Do not let outside problems effect the great work you have been doing.,The squad really appreciates your hard work and dedication to them. You are one of my best NCOs.,"I know you have been having a hard time, but that is no way to treat a subordinate. ",I know you are really stressed out but you need to be more professional when you are at work. This performance cannot continue.,"I do not care if you are stressed out, you need to be professional at all times. If this continues I will have to pursue disciplinary action.
",If I catch you speaking to a soldier like that again I will have to counsel you and recommend further disciplinary action.
"SSG Burch, try to take some time to focus on your family so that you do not bring those problems into the work place.","I understand, hopefully you will be able to work out those problems with the wife soon.","SSG Burch, I get it. Family is more important than anything. Take an extra day off this week and try to take your wife to a nice dinner and work out some issues.","Sometimes I have issues at home too, so I understand.  If you would like to grab a drink after work with our wives and discuss time management, I think it would be beneficial.
","SSG Burch, there is a time and a place to be concerned with your family but it is not fair to unleash that anger on your soldiers.","I understand, but please do not bring your stresses of home to work.","I do not care about your problems at home, that is not my concern. My concern is the welfare of MY soldiers.","I did not ask for excuses SSG, I do not want to see that happening again."
Everyone has issues. I am here if you need anything. Just don't go so hard on the squad.,Its okay. Things will get better.,You're a great worker and we are proud to have you. Everything will work out. However you shouldn't take it out on the squad.,Good work!,That's not the way to deal with the squad. Tone it down.,Don't let me catch that again.,Next time I hear that you will be handled accordingly. ,Leave your issues at home. Work is work.
Look son things will get better they always do just try not to take it out on the soldiers.,Do not worry about it everyone has issues at home it is not your fault son. Life is hard but it will get better I promise.,"Son that sounds pretty rough how about you take the rest of the day off. Go home and be with your wife, take her out tonight on your company card.",That sounds hard son how about you and me go grab something to drink tonight and talk more about it.,Look son just do not bring your home issues to work. Nobody here cares about your issues at home.,No excuses this is work either do it right or get out. I do not want to hear you talk that way to another soldier from now on. you got that?,Well maybe you would not have so many issues at home if you were a better husband. now get out of my office.,If you were not a drunken idiot you marriage would be better. I mean how did you talk that girl into marrying an retard in the first place?
Verbal abuse is wrong and I can have you excused for that. . . but I will recommend you to counseling instead. ,I'd like you to return to your family for a few days and focus on them. When you get back I hope to see a new leadership pattern within you.,I won't be firing you! I believe you can handle this situation in the best way. You are smart. Go home and spend some paid time off with your family.,I won't report it this time. I want you to go out there and apologize. I will be popping in once in a while to see if you have made any improvements with  your troops. Don't let family issues impact your work or else more things will be affected. ,"I am sorry this behavior is not tolerated and I will have to report it. However,  I do believe you can change and/or fix this situation so I will pull for you if you start making changes.","Sorry, this conduct was wrong and I will have to place some penalties on you, but I will not be kicking you out today, but I better see some changes.",You're fired!,You're behavior was wrong and it will be reported today. I want you to go out there and apologize. You will be working overtime for the next few nights.
,,,,"Sergeant, you need to get over yourself and get your crap straight!","Sergeant, frankly I don't care what is going on at home! You need to separate your personal and professional lives and stop taking your anger out on your platoon!","I sympathize with you, Private. Do you want to talk about what has been going on?",Would you like me to refer you to a counselor? You are a good soldier and I don't want to see anything bad happen to you.
I understand the stress your receiving from home can weigh heavily on your mind throughout the day and can also impact the way your interact with your colleagues. ,Your ability to handle the stress you encounter at home and at work has shown me your dedication to your service here ,Despite the emotional strain you have been enduring at home I am pleased to tell you how well you've balanced home life and your work load,I am aware of the circumstances you have been dealing with at home and I wanted to let you know that your home life has a significant impact on your emotional health. I hope your situation improves soon,The issues you're going through at home are only going to get worse so suck it up ,Its not my fault you and your wife made the poor decision to get married without truly understanding one another so please keep your emotional baggage to yourself ,Maybe if you knew how to handle your emotions like an adult neither your home life nor your interactions with colleagues would illicit poor responses ,its your own fault that your life sucks and your failure to become more self aware 
,,,,,,,
You seem like you’re going through a hard time. I’m here to listen. ,I’m sorry your home life isn’t the best right now - you’re welcome to stay in my guest room if need be. ,Your home life doesn’t sound great right now. I’ll give you a four day weekend so you have time to work things out!,That’s a bummer. Let’s go to Disney together next weekend so you can get away for a while! I’ll buy tickets. ,your home life sounds so sad and depressing. ,"I wish I had a wife to argue with, mine died. ","Nobody cares about your home life, grow up and be professional. ","If you want to use the “r-word,” you must not want to be a leader. You’re suspended indefinitely. "
,,,,,,,
I am very sorry to hear about your troubles at home.,Reamin calm. You and your wife will work out your differences. ,Thank you for doing such a good job handling that soldier. ,You are doing great at your job. Thank you!,"I am sorry to hear about your problems at home. However, it isn't fair to take out your anger on a soldier.  ",That soldier did not deserve your anger.  it is not his fault.  ,You were being way too mean to that soldier and i feel no sympathy for you!,No excuse justifies your horrible treatment of that solider.  You are fired!
"Listen i understand you have been in stressed mood recently, why dont you take the rest of the day off and spend some time with your family. I will look after your soldiers. ",I hear you SSG Burch. How about you go get some food in the dining hall and take a break for a while. I will look after you soldiers until you come back. ,SSG I see your frustration. I will talk to your men about respect and proper protocol. You can have the day off. ,I will talk to the soldier and he will be reprimanded for the disrespect. You can continue with your day. ,The way you talked to that officer is unacceptable SSG. I understand you are under stress but how would you like it if someone talked to you this way. ,"SSG i understand you stressed but you can not talk to the soldier that way. What if someone talked to your kids like that, wouldn't you be upset? ","SSG the way you spoke to that soldier is unacceptable. It seems that he isnt the retarded one here, you are. ",SSG if i ever catch you speaking to another man like that again the couch will be the least of your worries. This abuse is probably why you are having issues with your wife.
,,,,,,,
"SSG Burch, calm down, everything will turn out alright. Try not to take it out on your men so much.",SSG Burch things may be hard but you need to work it out with your wife. Take a few days off and spend some quality time with her.,"SSG Burch everything is cool, no worries. Take it easy. Don't take it to your men.",It's alight. Don't forget what you are here for though.,Calm down don't get so worked up. You need to apologize to your men for your behavior though.,"SSG Burch, it's no problem, you'll work it out. Start by being more considerate of your men's feeling though.",None of that matters. Get out of here and treat your men with respect!,"I don't want your excuses, just don't being your personal problems to work with you."
,,,,,,,
,,,,,,,
"SSG Burch, come into my office. Hey you need to come down man before you have a stroke over something that does not require all that stress you are putting on yourself here and at home. I need you to take it easy. Let your team leaders talk to the squad.",SSG Burch lets go into my office so we can discuss how you can take a whole different approach to your Soldiers without stressing you and the Soldiers out. I understand time with the Soldiers can be tough on us. ,"SSG Burch I understand that you have a lot going on at home, You are one of my better NCOs. I need you to be professional at all times at work and at home. I'm going to seek you some counseling, to help you at home and work.",SSG Burch what is going on with you and that Soldier. I understand some Soldiers is just not going to get it right. I don't know why some of them join the military. Don't stress yourself out over their ignorance.,"SSG Burch, i understand that you have a lot on your plate here at work and home. You are good NCO, but you cannot keep calling Soldiers dumb idiots. I need you to be professional at all times. Conduct yourself as an NCO.",SSG Burch why are yelling at a Soldier about a dirty weapon. You have a lot going on at home already and it seem like you are bringing it to work. We don't need you abusing Soldier by calling them names.,"SSG Burch, i don't care what is going on at your home. You will not come to this environment and belittle any Soldier, do i make myself clear.",SSG Burch your behavior is unacceptable and it will not be tolerated here at work. I will not let you verbal abuse Soldiers and disrespect them by snatching any items out of there hands. Do i make myself clear.
"SSG Burch, I can see why you are frazzled. Sleeping on the couch is rough. Come to me with these things, in total confidence, so I can help you head off you losing your head while on duty.","Burch, I know fighting with the misses will throw you for a loop. I've had a few rows of my own, but when things start getting to you, you know my door is open. Or you can always stop by the Counseling Clinic for some advice. Let's keep our cool, yeah?","Psh, I hear you! The misses sure know how to fuss about everything, right? Well, let's grab a drink after work and I'll send you home with a note. HA HA!","Well Burch, it's not your fault you know how to have a good time! The misses is probably on her monthly. Ignore her.","Rogers, maybe you think of your wife more often. You staying out with the boys is lazy and childish.","Well if you don't want to be in the doghouse, don't act like a dog, Rogers. Not like you're much of a catch anyway.","Do you want me to yell at you like you are yelling at the soldiers? Maybe you just like yelling, Rogers! I bet that's why your wife is mad at you!","What is your problem?! You are screaming at the soldiers, fighting with your wife! Do you require some counseling, you baby?!"
,,,,,,,
Hey that's life. Maybe you should try to take some time of an refocus.,Try not to take your stress out one others. We all go through some things.,How about I give you a week off to gather your thoughts.,I'll give you a week off and I reccommend you to a family counselor. ,Hey! It's not nice to be rude to people because your life is in the mud. Give them a chance. ,Calm down. You aren't perfect so why do they have to be. ,No you're the idiot. Only a fool misplaces his anger to the innocent.,You're suspended for two weeks. I have no place for bullies in my work environment.
,,,,,,,
why is your wife being so awful and picking fights with you?,"I understand, sergeant. i'm here if you need to talk, but for now is it possible to leave the home life problems at home and not take it out on your fellow soldiers?",why is your wife nagging you like this?,"Hey! At least you're communicating and now you know where the problems are. If you need, I know of some couples therapy that you guys could try.",why is your wife picking fights with you?,"i'm so sorry, but at least you have someone who cares about you. my wife left me a couple of years ago and its so hard not having anyone.",why is your wife fighting with you?,"what a nag! don't listen to her, you did nothing wrong!"
Everyone has issues. I am here if you need anything. Just don't go so hard on the squad.,Its okay. Things will get better.,You're a great worker and we are proud to have you. Everything will work out. However you shouldn't take it out on the squad.,Good work!,That's not the way to deal with the squad. Tone it down.,Don't let me catch that again.,Next time I hear that you will be handled accordingly. ,Leave your issues at home. Work is work.
,,,,,,,
It's all right. We'll work something out. would you like me to talk to your wife for you? Maybe explain some things?,You'll be fine. Don't worry about anything. Would you like some time off? Maybe that will take the pressure off for a while and you can focus on your wife and kids.,I believe you. Maybe you should have some time off so you can spend time with your wife.,Don't you worry about a thing. I will handle your troops for a bit.,"I'm sorry to hear that, but that is not an excuse.",You need to not allow your home life to effect how you talk to your men. They do not deserve that kind of treatment.,You are lying! You deserve leave without pay. You'll see how happy your wife is when she hears about this.,"You are not allowed by any circumstances to talk to your men like that, no matter what is occurring outside of work. You should be ashamed of yourself!"
"SSG Burch, I can assure you that you have been doing such a great job in this position. I am very sorry to hear about all of this. I am here whenever you need me.","Thank you for being honest with me about all of these personal problems, I can refer you and your wife to some counseling if you would like.",You are an awesome man for this position! try not to let the stress get mixed in with your job and you will be doing just fine!,"I understand how you are feeling, and I just want you to know that you are doing such a great job. Try not to mix your personal life and work though. Other than this, you are doing such a great job!","You are not doing very well in this position. I hate to say this, but you should think about taking a few unpaid days away from work",I thought you could handle stress better than this. You do not seem to be the doing very well right now.,"You are a disgrace, and you should know way better! I cannot believe you are mixing work and your personal life! Do better, or you are fired!","I hope you and your wife work it out because if not, you are out of a job, mister."
"I understand that you're angry, but you were a recruit once yourself. You need to relax a little and try to help these men, not yell at them. Remember you were in the same boat as them at one point.",The recruits won't learn by someone yelling at them. You need to try a different approach. Remember you catch flies better with honey than vinegar.,"These men need a friend as much as a squad leader. You can be that man if you can temper yourself. I see greatness in you, but you have to calm down first to reach it.","A good man once said ""Treat your men like your own sons and they will follow you into the worst of battle."" You must treat them right in order to get the full potential of your men.",Yelling solves nothing in the long run. You will only make them fear you and fear is not the same as respect. Try to see it from their point of view from now on.,"Anger only begets more anger and what these men need is to stay calm, not hot-headed and unhappy. That is how good soldiers make dumb decisions and people end up hurt.","That display only proves to me that you are a poor example as a squad leader. If I see that again, you will be demoted.",It wasn't that young man's fault. You are responsible for these men and if you can not take care of a few recruits than you can not leader anyone.
"SSG. burch you know thats not the way we conduct ourselfs here, and you know better. understanding your dispostion i will give you the rest of the day off to cool down and resume your duties tomorrow. also i will have a talk with your squad.","SSG. Burch i apologize for what happeneing at home but you cant take that out on your soilders. I will talk to Jones later, but you are a great soilder so get your life toghether, and go make things right with your wife.","Burch you are one of the best soilders around here, but you shouldnt speak to your soilders that way, although you are right. i will meet with jones and carry on. keep up the good work and ill submit your name for a promotion.","Burch you know you cannot behave in that manner, you are the best souldier i have right now so get your act togther. i will give you two days at home to make things right with your wife, and comback bright eyed and bushy tailed. i will handle jones myself","Burch you have embarassed jones in font of the squad and subjected him to abuse, this is not the way of a leader. get your act togther befroe i take action.","Burch you were on of my favorite shoulders, and not youve just hit rock bottom. talk to your soilders better than you have been or else ill get involved.","Burch if youre subjecting your wife to similar abuse i would have problems too, you know that is now the way we operate around here. lay of the drinks before youre unemployed,",Burch your attitude stinks and your character is even worse right about now. how dare you embarrse him infront of the entire squad. call your wife and we will get to the bottom of this now. because you are one of the worst soilders i've laid eyes upon.
I under why you're stressed and are doing everything you can to balance complicated issues. Just try to work on a better approach with your soliders.,"Continue working on professional career, you are capable of grewt things. If you need someone to speak with, my door is always open","Your men stand behind you, they respect you, make sure you let them you're proud of them and continue to motivate them.","Your record speaks for itself, continue to uphold the standard and take care of your men.",I support you and stand behind you but you could definitely and need to do a better job at handling your men,"Your home life is no excuse for treating your men as such. What happens at home, needs to be kept at home",There is no excuse for how you treat your men and need to work on becoming a better example as a leader,"I question your leadership skills, if this is the best you can do at motivating and training your men"
"I understand how you are feeling.  My wife and I get in our fair share of arguments.  Going forward, just please try to remember your squad really needs your calm leadership.  You do a good job of this, and I would hate to see a loss of group dynamic.","I didn't know all of that was going on.  I've been there myself as well.  I think if you try to keep in mind that some of your soldiers are also dealing with these issues, you could use this stress to unite everyone in their work, and even work better.","I did not realize the stress you were under at home.  If you would like to take some time off to collect your thoughts, maybe take your family on vacation, I would approve your leave.  Let me know what you need to make your job easier.","While the methods do seem untraditional, your squad has been performing well lately and seems to be more united than ever.  I would only caution that you ensure they do not unite against you, but other than that, your leadership has proven effective.","There is a difference in disciplining and trying to hurt someone.  The soldier you were just yelling at recently lost his mother, who was schizophrenic.  Offensive words are going to hurt your soldiers as well as your authority over them.","I recently lost my wife.  We argued a lot, and I regret allowing the bad to take over our relationship.  I know it is stressful, but if you focus on appreciating what you have, it will be easier.  Leniency to your soldiers will come if you focus on home.","It does not matter what is going on at home.  When you took this job, you devoted yourself fully to this job.  Just because things get stressful at home does not make this acceptable.  If you can not handle the stress of a family, you can't handle this.","Your behavior has been erratic for months, and you have had plenty of time to work through your own emotions.  I am not the only one who has noticed.  Because of this, you will be suspended for two weeks.  You could spend this timme at marriage counseling"
"SSG Burch, I am sorry to hear about the conflict you've beeen experiencing with your wife. It is unfortunate, and I know that it must be hard on you. If you need to talk about it at any time, come to me.","SSG Burch, I do not blame you for your frustrations. This is a tough time for you, and I am sorry that all of this is happening. Try calmly expressing your feelings to your wife. She may not realize the stress she's putting on you.","SSG Burch, it hurts me to hear this. You should take the next few days off to resolve these issues with your wife and to spend time with your family. Thank you for your hard work and for sharing this with me.","SSG Burch, I would like to offer you a raise to ease some of your burdens. However you must drop these tendencies to lash out at your men; they do not deserve it. But I would rather not see you in pain like this.","SSG Burch, it is unfortunate that these fights are breaking out between you and your wife. However, it speaks poorly of you that you choose to react by taking out your emotions on others. I can no longer look at you with the same level of  respect.","SSG Burch, imagine that you were your men instead. Wouldn't you feel terrible if someone verbally abused you at the slightest provocation? I cannot deny that you are going through a hard time, but I also cannot deny that you are mistreating others.","SSG Burch, you need to suck it up, buttercup. Life sucks; deal with it. Everyone else does. You aren't so special that you can get away with abusing others just because your wife hurts your feelings. Pathetic.","SSG Burch, you are a blemish on this entire branch. I can no longer stand to look at you; you disgust me. You act like a child when harming others for getting your feelings hurt. Be a man."
"everything will be fine, here is a weekend holiday pass",I'm switching you to an office job,here is extra pay for your bills,you are being discharged,we are going to war,your wife is dead,she didn't seem mad last night...,your son can't clean a gun properly
"Burch i know you are angry, but please take it down a notch. It is not good for your health.","Just relax Mr. Burch, just don't mind him too much.","Don't worry about him Mr. Burch, he's worth nothing and i think that you should just let him go and find your happy place.","Mr. Burch, he's cleaning his gun and now he's doing it just right!!","Burch is this what would you do to your dead son, for Pete sake it's just a gun that needs to be clean and he will do whenever.","Your wife left you and your son is dead, all you really care about is some idiot not cleaning his own personal property.",Burch you are an incompetent fool who isn't responsible for taking care of his own actions.,"Forget you Burch, if you care so much about the gun and bullying others about it, i hereby fire you of your work and duties."
Its okay to not be at you're best all he time. Youre not in touble. Half the time I want to yell at them too. Haha.,You just have to remember to breathe. Relax for a little bit before you go back out there.,Hey. Take youre mind off of all this stress. Its not good for you. We should hang out sometime.,I'm giving you a raise.,Im disappointed.,All of these people are struggling with their own problems. At least try to be a little nicer. You dont seem like youre trying at all.,Im tired of dealing with youre problems,dont bring youre problems to work. Just do your job
SSG Burch can work things out with his wife so that he can calm down.,He wants to feel comforted in his home by not sleeping on the couch.,He becomes more alert when her talks to the troop,He can be happy with his wife when they work things out.,He is frustrated with his wife and dosnt see it getting any better. ,He is becoming depressed with the relationship ,He is obviously angry because he is yelling at a troop ,His relationship with his wife is intense
